Sample in Buffer,Sample in Window,TRIGGER,SystolicCore0/serial2mem_opA/uart_ready_rx_out,SystolicCore0/serial2mem_opA/nreset,SystolicCore0/serial2mem_opA/rw,SystolicCore0/serial2mem_opA/valid_i,SystolicCore0/serial2mem_opA/rready_i,SystolicCore0/serial2mem_opA/rvalid_o,SystolicCore0/serial2mem_opA/ready_o,SystolicCore0/serial2mem_opA/single_port_ram_en,SystolicCore0/serial2mem_opA/in_data[3:0],SystolicCore0/serial2mem_opA/out_data[63:0],SystolicCore0/serial2mem_opA/single_port_ram_di_reg[63:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
298,298,0,0,1,0,1,0,0,0,0,2,0000000000000000,0000011144414430
299,299,0,0,1,0,1,0,0,0,0,2,0000000000000000,0000011144414430
300,300,0,0,1,0,1,0,0,0,0,2,0000000000000000,0000011144414430
301,301,0,0,1,0,1,0,0,0,0,2,0000000000000000,0000011144414430
302,302,0,0,1,0,1,0,0,0,0,2,0000000000000000,0000011144414430
303,303,0,0,1,0,1,0,0,0,0,2,0000000000000000,0000011144414430
304,304,0,0,1,0,1,0,0,0,0,2,0000000000000000,0000011144414430
305,305,0,0,1,0,1,0,0,0,0,2,0000000000000000,0000011144414430
306,306,0,0,1,0,1,0,0,0,0,2,0000000000000000,0000011144414430
307,307,0,0,1,0,1,0,0,0,0,2,0000000000000000,0000011144414430
308,308,0,0,1,0,1,0,0,0,0,2,0000000000000000,0000011144414430
309,309,0,0,1,0,1,0,0,0,0,2,0000000000000000,0000011144414430
310,310,0,0,1,0,1,0,0,0,0,2,0000000000000000,0000011144414430
311,311,0,0,1,0,1,0,0,0,0,2,0000000000000000,0000011144414430
312,312,0,0,1,0,1,0,0,0,0,2,0000000000000000,0000011144414430
313,313,0,0,1,0,1,0,0,0,0,2,0000000000000000,0000011144414430
314,314,0,0,1,0,1,0,0,0,0,2,0000000000000000,0000011144414430
315,315,0,0,1,0,1,0,0,0,0,2,0000000000000000,0000011144414430
316,316,0,0,1,0,1,0,0,0,0,2,0000000000000000,0000011144414430
317,317,0,0,1,0,1,0,0,0,0,2,0000000000000000,0000011144414430
318,318,0,0,1,0,1,0,0,0,0,2,0000000000000000,0000011144414430
319,319,0,0,1,0,1,0,0,0,0,2,0000000000000000,0000011144414430
